0,0,FIFA,FIFA,-1
87,4,S2,FCE_Group_Stage,81
88,5,G1,FCE_Group_A,87
89,5,G2,FCE_Group_B,87
90,5,G3,FCE_Group_C,87
91,5,G4,FCE_Group_D,87
92,5,G5,FCE_Group_E,87
93,5,G6, FCE_Group_F,87
94,4,S3,FCE_Setup_Stage,81
95,5,G1, ,94
96,4,S4,FCE_Setup_Stage,81
97,5,G1, ,96
98,4,S5,FCE_Round_of_16,81
99,5,G1, ,98
100,5,G2, ,98
101,5,G3, ,98
102,5,G4, ,98
103,5,G5, ,98
104,5,G6, ,98
105,5,G7, ,98
106,5,G8, ,98
107,4,S6,FCE_Quarter_Finals,81
108,5,G1, ,107
109,5,G2, ,107
110,5,G3, ,107
111,5,G4, ,107
112,4,S7,FCE_Semi_Finals,81
113,5,G1, ,112
114,5,G2, ,112
115,4,S8,FCE_Final,81
116,5,G1, ,115
117,3,C232,TrophyName_Abbr15_232,0
118,4,S1,FCE_Final,117
119,5,G1, ,118
120,3,C223,TrophyName_Abbr15_223,0
121,4,S1,FCE_Setup_Stage,120
122,5,G1, ,121
123,5,G2, ,121
124,5,G3, ,121
125,5,G4, ,121
126,5,G5, ,121
127,5,G6, ,121
128,5,G7, ,121
129,5,G8, ,121
130,4,S2,FCE_Group_Stage,120
131,5,G1,FCE_Group_A,130
132,5,G2,FCE_Group_B,130
133,5,G3,FCE_Group_C,130
134,5,G4,FCE_Group_D,130
135,5,G5,FCE_Group_E,130
136,5,G6,FCE_Group_F,130
137,5,G7,FCE_Group_G,130
138,5,G8,FCE_Group_H,130
139,4,S3,Round of 16 Pots,120
140,5,G1,FCE_Group_Stage_Winners,139
141,5,G2,FCE_Group_Stage_Runner-ups,139
142,4,S4,FCE_Round_of_16,120
143,5,G1, ,142
144,5,G2, ,142
145,5,G3, ,142
146,5,G4, ,142
147,5,G5, ,142
148,5,G6, ,142
149,5,G7, ,142
150,5,G8, ,142
151,4,S5,FCE_Quarter_Finals_Draw,120
152,5,G1, ,151
153,4,S6,FCE_Quarter_Finals,120
154,5,G1, ,153
155,5,G2, ,153
156,5,G3, ,153
157,5,G4, ,153
158,4,S7,FCE_Semi_Finals_Draw,120
159,5,G1, ,158
160,4,S8,FCE_Semi_Finals,120
161,5,G1, ,160
162,5,G2, ,160
163,4,S9,FCE_Final,120
164,5,G1, ,163
165,3,C224,TrophyName_Abbr15_224,0
166,4,S1,FCE_Group_Stage_Setup,165
167,5,G1, ,166
168,5,G2, ,166
169,5,G3, ,166
170,5,G4, ,166
171,5,G5, ,166
172,5,G6, ,166
173,5,G7, ,166
174,5,G8, ,166
175,5,G9, ,166
176,5,G10, ,166
177,5,G11, ,166
178,5,G12, ,166
179,5,G13, ,166
180,4,S2,FCE_Group_Stage,165
181,5,G1,FCE_Group_A,180
182,5,G2,FCE_Group_B,180
183,5,G3,FCE_Group_C,180
184,5,G4,FCE_Group_D,180
185,5,G5,FCE_Group_E,180
186,5,G6,FCE_Group_F,180
187,5,G7,FCE_Group_G,180
188,5,G8,FCE_Group_H,180
189,5,G9,FCE_Group_I,180
190,5,G10,FCE_Group_J,180
191,5,G11,FCE_Group_K,180
192,5,G12,FCE_Group_L,180
193,4,S3,FCE_CL_Group_Stage_Team_Setup,165
194,5,G1,FCE_Group_Stage_3rd_Place_Teams,193
195,4,S4,FCE_Round_of_32_Pots,165
196,5,G1,FCE_Group_Stage_Winners_+_CL,195
197,5,G2,FCE_Group_Stage_Runner-ups_+_CL,195
198,4,S5,FCE_Round_of_32,165
199,5,G1, ,198
200,5,G2, ,198
201,5,G3, ,198
202,5,G4, ,198
203,5,G5, ,198
204,5,G6, ,198
205,5,G7, ,198
206,5,G8, ,198
207,5,G9, ,198
208,5,G10, ,198
209,5,G11, ,198
210,5,G12, ,198
211,5,G13, ,198
212,5,G14, ,198
213,5,G15, ,198
214,5,G16, ,198
215,4,S6,FCE_Round_of_16_Draw,165
216,5,G1, ,215
217,4,S7,FCE_Round_of_16,165
218,5,G1, ,217
219,5,G2, ,217
220,5,G3, ,217
221,5,G4, ,217
222,5,G5, ,217
223,5,G6, ,217
224,5,G7, ,217
225,5,G8, ,217
226,4,S8,FCE_Quarter_Finals_Draw,165
227,5,G1, ,226
228,4,S9,FCE_Quarter_Finals,165
229,5,G1, ,228
230,5,G2, ,228
231,5,G3, ,228
232,5,G4, ,228
233,4,S10,FCE_Semi-Finals_Draw,165
234,5,G1, ,233
235,4,S11,FCE_Semi_Finals,165
236,5,G1, ,235
237,5,G2, ,235
238,4,S12,FCE_Final,165
239,5,G1, ,238
240,3,C940,TrophyName_Abbr15_940,0
241,4,S1,FCE_Setup_Stage,240
242,5,G1, ,241
243,4,S2,FCE_Semi_Final,240
244,5,G1, ,243
245,5,G2, ,243
246,4,S3,FCE_Third_Place,240
247,5,G1, ,246
248,4,S4,FCE_Final,240
249,5,G1, ,248
250,3,C950,TrophyName_Abbr15_950,0
251,4,S1,FCE_Setup_Stage,250
252,5,G1, ,251
253,4,S2,FCE_Group_Stage,250
254,5,G1,FCE_Group_A,253
255,5,G2,FCE_Group_B,253
256,4,S3,FCE_Semi_Finals,250
257,5,G1, ,256
258,5,G2, ,256
259,4,S4,FCE_Third_Place,250
260,5,G1, ,259
261,4,S5,FCE_Final,250
262,5,G1, ,261
263,3,C970,TrophyName_Abbr15_970,405
264,4,S1,FCE_Setup_Stage,263
265,5,G1, ,264
266,5,G2, ,264
267,4,S2,FCE_Setup_Stage,263
268,5,G1, ,267
269,5,G2, ,267
270,5,G3, ,267
271,5,G4, ,267
272,4,S3,FCE_Group_Stage,263
273,5,G1,FCE_Group_A,272
274,5,G2,FCE_Group_B,272
275,5,G3,FCE_Group_C,272
276,4,S4,FCE_Setup_Stage,263
277,5,G1, ,276
278,4,S5,FCE_Setup_Stage,263
279,5,G1, ,278
280,4,S6,FCE_Quarter_Finals,263
281,5,G1, ,280
282,5,G2, ,280
283,5,G3, ,280
284,5,G4, ,280
285,4,S7,FCE_Semi_Finals,263
286,5,G1, ,285
287,5,G2, ,285
288,4,S8,FCE_Third_Place,263
289,5,G1, ,288
290,4,S9,FCE_Final,263
291,5,G1, ,290
292,3,C1003,TrophyName_Abbr15_1003,0
293,4,S1,FCE_Setup_Stage,292
294,5,G1, ,293
295,4,S2,FCE_Group_Stage,292
296,5,G1,FCE_Group_A,295
297,5,G2,FCE_Group_B,295
298,5,G3,FCE_Group_C,295
299,5,G4,FCE_Group_D,295
300,4,S3,FCE_Setup_Stage,292
301,5,G1, ,300
302,4,S4,FCE_Quarter_Finals,292
303,5,G1, ,302
304,5,G2, ,302
305,5,G3, ,302
306,5,G4, ,302
307,4,S5,FCE_Setup_Stage,292
308,5,G1, ,307
309,4,S6,FCE_Semi_Finals,292
310,5,G1, ,309
311,5,G2, ,309
312,4,S7,FCE_Setup_Stage,292
313,5,G1, ,312
314,4,S8,FCE_Final,292
315,5,G1, ,314
316,3,C960,TrophyName_Abbr15_960,0
317,4,S1,FCE_Setup_Stage,316
318,5,G1, ,317
319,4,S2,FCE_Group_Stage,316
320,5,G1,FCE_Group_A,319
321,5,G2,FCE_Group_B,319
322,4,S3,FCE_Semi_Finals,316
323,5,G1, ,322
324,5,G2, ,322
325,4,S4,FCE_Third_Place,316
326,5,G1, ,325
327,4,S5,FCE_Final,316
328,5,G1, ,327
329,3,C450,TrophyName_Abbr15_450,0
330,4,S1,FCE_Setup_Stage,329
331,5,G1, ,330
332,4,S2,FCE_Round_1,329
333,5,G1, ,332
334,5,G2, ,332
335,5,G3, ,332
336,5,G4, ,332
337,5,G5, ,332
338,5,G6, ,332
339,4,S3,FCE_Quarter_Finals,329
340,5,G1, ,339
341,5,G2, ,339
342,5,G3, ,339
343,5,G4, ,339
344,4,S4,FCE_Semi_Finals,329
345,5,G1, ,344
346,5,G2, ,344
347,4,S5,FCE_Final,329
348,5,G1, ,347
349,3,C350,TrophyName_Abbr15_350,0
350,4,S1,FCE_League_Stage,349
351,5,G1, ,350
352,3,C550,TrophyName_Abbr15_550,0
353,4,S1,FCE_Setup_Stage,352
354,5,G1, ,353
355,4,S2,FCE_Quarter_Finals,352
356,5,G1, ,355
357,5,G2, ,355
358,5,G3, ,355
359,5,G4, ,355
360,4,S3,FCE_Semi_Finals,352
361,5,G1, ,360
362,5,G2, ,360
363,4,S4,FCE_Third_Place,352
364,5,G1, ,363
365,4,S5,FCE_Final,352
366,5,G1, ,365
367,3,C500,TrophyName_Abbr15_500,405
368,4,S1,FCE_Setup_Stage,367
369,5,G1, ,368
370,4,S2,FCE_Group_Stage,367
371,5,G1,FCE_Group_A,370
372,5,G2,FCE_Group_B,370
373,4,S3,FCE_Semi_Finals,367
374,5,G1, ,373
375,5,G2, ,373
376,4,S4,FCE_Final,367
377,5,G1, ,376
378,1,UEFA,European FA,0
379,3,C991,TrophyName_Abbr15_991,378
380,4,S1,FCE_Setup_Stage,379
381,5,G1, ,380
382,5,G2, ,380
383,5,G3, ,380
384,4,S2,FCE_Setup_Stage,379
385,5,G1, ,384
386,5,G2, ,384
387,5,G3, ,384
388,4,S3,FCE_Setup_Stage,379
389,5,G1, ,388
390,4,S4,FCE_Group_Stage,379
391,5,G1,FCE_Europe,390
392,3,C981,TrophyName_Abbr15_981,378
393,4,S1,FCE_Setup_Stage,392
394,5,G1, ,393
395,5,G2, ,393
396,5,G3, ,393
397,4,S2,FCE_Setup_Stage,392
398,5,G1, ,397
399,5,G2, ,397
400,5,G3, ,397
401,4,S3,FCE_Setup_Stage,392
402,5,G1, ,401
403,4,S4,FCE_Group_Stage,392
404,5,G1, ,403
405,2,COUN,NationName_250,378
406,1,CCAF, ,0
407,3,C100,TrophyName_Abbr15_1004,406
408,4,S1,FCE_Setup_Stage,407
409,5,G1, ,408
410,4,S2,FCE_Group_Stage,407
411,5,G1,FCE_Group_A,410
412,5,G2,FCE_Group_B,410
413,4,S3,FCE_Semi_Finals,407
414,5,G1, ,413
415,5,G2, ,413
416,4,S4,FCE_Finals,407
417,5,G1, ,416
418,1,AFC, ,0
419,3,C993,TrophyName_Abbr15_993,418
420,4,S1,FCE_Group_Stage,419
421,5,G1,FCE_Asia,420
422,3,C100,TrophyName_Abbr15_1005,418
423,4,S1,FCE_Setup_Stage,422
424,5,G1, ,423
425,4,S2,FCE_Group_Stage,422
426,5,G1,FCE_Group_A,425
427,5,G2,FCE_Group_B,425
428,4,S3,FCE_Semi_Finals,422
429,5,G1, ,428
430,5,G2, ,428
431,4,S4,FCE_Finals,422
432,5,G1, ,431
433,1,CNBL, ,0
434,3,C992,TrophyName_Abbr15_992,433
435,4,S1,FCE_Group_Stage,434
436,5,G1,FCE_SouthAmerica,435
437,1,CAF, ,0
438,1,OFC, ,0
439,1,CRCT, ,0
440,2,CRCY,NationName_216,439
441,3,C900,MatchTypeIntFriendly,0
442,4,S1,Friendly,441
443,5,G1, ,442
444,3,CFRN,Friendly,0
445,4,S1,Friendly,444
446,5,G1, ,445
