0,0,FIFA,FIFA,-1
112,4,S7,FCE_Semi_Finals,81
113,5,G1, ,112
114,5,G2, ,112
115,4,S8,FCE_Final,81
116,5,G1, ,115
117,3,C232,TrophyName_Abbr15_232,0
118,4,S1,FCE_Final,117
119,5,G1, ,118
120,3,C223,TrophyName_Abbr15_223,0
121,4,S1,FCE_Setup_Stage,120
122,5,G1, ,121
123,5,G2, ,121
124,5,G3, ,121
125,5,G4, ,121
126,5,G5, ,121
127,5,G6, ,121
128,5,G7, ,121
129,5,G8, ,121
130,4,S2,FCE_Group_Stage,120
131,5,G1,FCE_Group_A,130
132,5,G2,FCE_Group_B,130
133,5,G3,FCE_Group_C,130
134,5,G4,FCE_Group_D,130
135,5,G5,FCE_Group_E,130
136,5,G6,FCE_Group_F,130
137,5,G7,FCE_Group_G,130
138,5,G8,FCE_Group_H,130
139,4,S3,Round of 16 Pots,120
140,5,G1,FCE_Group_Stage_Winners,139
141,5,G2,FCE_Group_Stage_Runner-ups,139
142,4,S4,FCE_Round_of_16,120
143,5,G1, ,142
144,5,G2, ,142
145,5,G3, ,142
146,5,G4, ,142
147,5,G5, ,142
148,5,G6, ,142
149,5,G7, ,142
150,5,G8, ,142
151,4,S5,FCE_Quarter_Finals_Draw,120
152,5,G1, ,151
153,4,S6,FCE_Quarter_Finals,120
154,5,G1, ,153
155,5,G2, ,153
156,5,G3, ,153
157,5,G4, ,153
158,4,S7,FCE_Semi_Finals_Draw,120
159,5,G1, ,158
160,4,S8,FCE_Semi_Finals,120
161,5,G1, ,160
162,5,G2, ,160
163,4,S9,FCE_Final,120
164,5,G1, ,163
165,3,C224,TrophyName_Abbr15_224,0
166,4,S1,FCE_Group_Stage_Setup,165
167,5,G1, ,166
168,5,G2, ,166
169,5,G3, ,166
170,5,G4, ,166
171,5,G5, ,166
172,5,G6, ,166
173,5,G7, ,166
174,5,G8, ,166
175,5,G9, ,166
176,5,G10, ,166
177,5,G11, ,166
178,5,G12, ,166
179,5,G13, ,166
180,4,S2,FCE_Group_Stage,165
181,5,G1,FCE_Group_A,180
182,5,G2,FCE_Group_B,180
183,5,G3,FCE_Group_C,180
184,5,G4,FCE_Group_D,180
185,5,G5,FCE_Group_E,180
186,5,G6,FCE_Group_F,180
187,5,G7,FCE_Group_G,180
188,5,G8,FCE_Group_H,180
189,5,G9,FCE_Group_I,180
190,5,G10,FCE_Group_J,180
191,5,G11,FCE_Group_K,180
192,5,G12,FCE_Group_L,180
193,4,S3,FCE_CL_Group_Stage_Team_Setup,165
194,5,G1,FCE_Group_Stage_3rd_Place_Teams,193
195,4,S4,FCE_Round_of_32_Pots,165
196,5,G1,FCE_Group_Stage_Winners_+_CL,195
197,5,G2,FCE_Group_Stage_Runner-ups_+_CL,195
198,4,S5,FCE_Round_of_32,165
199,5,G1, ,198
200,5,G2, ,198
201,5,G3, ,198
202,5,G4, ,198
203,5,G5, ,198
204,5,G6, ,198
205,5,G7, ,198
206,5,G8, ,198
207,5,G9, ,198
208,5,G10, ,198
209,5,G11, ,198
210,5,G12, ,198
211,5,G13, ,198
212,5,G14, ,198
213,5,G15, ,198
214,5,G16, ,198
215,4,S6,FCE_Round_of_16_Draw,165
216,5,G1, ,215
217,4,S7,FCE_Round_of_16,165
218,5,G1, ,217
219,5,G2, ,217
220,5,G3, ,217
221,5,G4, ,217
222,5,G5, ,217
223,5,G6, ,217
224,5,G7, ,217
225,5,G8, ,217
226,4,S8,FCE_Quarter_Finals_Draw,165
227,5,G1, ,226
228,4,S9,FCE_Quarter_Finals,165
229,5,G1, ,228
230,5,G2, ,228
231,5,G3, ,228
232,5,G4, ,228
233,4,S10,FCE_Semi-Finals_Draw,165
234,5,G1, ,233
235,4,S11,FCE_Semi_Finals,165
236,5,G1, ,235
237,5,G2, ,235
238,4,S12,FCE_Final,165
239,5,G1, ,238
240,3,C940,TrophyName_Abbr15_940,0
241,4,S1,FCE_Setup_Stage,240
242,5,G1, ,241
243,4,S2,FCE_Semi_Final,240
244,5,G1, ,243
245,5,G2, ,243
246,4,S3,FCE_Third_Place,240
247,5,G1, ,246
248,4,S4,FCE_Final,240
249,5,G1, ,248
250,3,C950,TrophyName_Abbr15_950,0
251,4,S1,FCE_Setup_Stage,250
252,5,G1, ,251
253,4,S2,FCE_Group_Stage,250
254,5,G1,FCE_Group_A,253
255,5,G2,FCE_Group_B,253
256,4,S3,FCE_Semi_Finals,250
257,5,G1, ,256
258,5,G2, ,256
259,4,S4,FCE_Third_Place,250
260,5,G1, ,259
261,4,S5,FCE_Final,250
262,5,G1, ,261
263,3,C970,TrophyName_Abbr15_970,397
264,4,S1,FCE_Group_Stage,263
265,5,G1,FCE_Group_A,264
266,5,G2,FCE_Group_B,264
267,5,G3,FCE_Group_C,264
268,4,S2,FCE_Setup_Stage,263
269,5,G1, ,268
270,4,S3,FCE_Setup_Stage,263
271,5,G1, ,270
272,4,S4,FCE_Quarter_Finals,263
273,5,G1, ,272
274,5,G2, ,272
275,5,G3, ,272
276,5,G4, ,272
277,4,S5,FCE_Semi_Finals,263
278,5,G1, ,277
279,5,G2, ,277
280,4,S6,FCE_Third_Place,263
281,5,G1, ,280
282,4,S7,FCE_Final,263
283,5,G1, ,282
284,3,C1003,TrophyName_Abbr15_1003,0
285,4,S1,FCE_Setup_Stage,284
286,5,G1, ,285
287,4,S2,FCE_Group_Stage,284
288,5,G1,FCE_Group_A,287
289,5,G2,FCE_Group_B,287
290,5,G3,FCE_Group_C,287
291,5,G4,FCE_Group_D,287
292,4,S3,FCE_Setup_Stage,284
293,5,G1, ,292
294,4,S4,FCE_Quarter_Finals,284
295,5,G1, ,294
296,5,G2, ,294
297,5,G3, ,294
298,5,G4, ,294
299,4,S5,FCE_Setup_Stage,284
300,5,G1, ,299
301,4,S6,FCE_Semi_Finals,284
302,5,G1, ,301
303,5,G2, ,301
304,4,S7,FCE_Setup_Stage,284
305,5,G1, ,304
306,4,S8,FCE_Final,284
307,5,G1, ,306
308,3,C960,TrophyName_Abbr15_960,0
309,4,S1,FCE_Setup_Stage,308
310,5,G1, ,309
311,4,S2,FCE_Group_Stage,308
312,5,G1,FCE_Group_A,311
313,5,G2,FCE_Group_B,311
314,4,S3,FCE_Semi_Finals,308
315,5,G1, ,314
316,5,G2, ,314
317,4,S4,FCE_Third_Place,308
318,5,G1, ,317
319,4,S5,FCE_Final,308
320,5,G1, ,319
321,3,C450,TrophyName_Abbr15_450,0
322,4,S1,FCE_Setup_Stage,321
323,5,G1, ,322
324,4,S2,FCE_Round_1,321
325,5,G1, ,324
326,5,G2, ,324
327,5,G3, ,324
328,5,G4, ,324
329,5,G5, ,324
330,5,G6, ,324
331,4,S3,FCE_Quarter_Finals,321
332,5,G1, ,331
333,5,G2, ,331
334,5,G3, ,331
335,5,G4, ,331
336,4,S4,FCE_Semi_Finals,321
337,5,G1, ,336
338,5,G2, ,336
339,4,S5,FCE_Final,321
340,5,G1, ,339
341,3,C350,TrophyName_Abbr15_350,0
342,4,S1,FCE_League_Stage,341
343,5,G1, ,342
344,3,C550,TrophyName_Abbr15_550,0
345,4,S1,FCE_Setup_Stage,344
346,5,G1, ,345
347,4,S2,FCE_Quarter_Finals,344
348,5,G1, ,347
349,5,G2, ,347
350,5,G3, ,347
351,5,G4, ,347
352,4,S3,FCE_Semi_Finals,344
353,5,G1, ,352
354,5,G2, ,352
355,4,S4,FCE_Third_Place,344
356,5,G1, ,355
357,4,S5,FCE_Final,344
358,5,G1, ,357
359,3,C500,TrophyName_Abbr15_500,0
360,4,S1,FCE_Setup_Stage,359
361,5,G1, ,360
362,4,S2,FCE_Group_Stage,359
363,5,G1,FCE_Group_A,362
364,5,G2,FCE_Group_B,362
365,4,S3,FCE_Semi_Finals,359
366,5,G1, ,365
367,5,G2, ,365
368,4,S4,FCE_Final,359
369,5,G1, ,368
370,1,UEFA,European FA,0
371,3,C991,TrophyName_Abbr15_991,370
372,4,S1,FCE_Setup_Stage,371
373,5,G1, ,372
374,5,G2, ,372
375,5,G3, ,372
376,4,S2,FCE_Setup_Stage,371
377,5,G1, ,376
378,5,G2, ,376
379,5,G3, ,376
380,4,S3,FCE_Setup_Stage,371
381,5,G1, ,380
382,4,S4,FCE_Group_Stage,371
383,5,G1,FCE_Europe,382
384,3,C981,TrophyName_Abbr15_981,370
385,4,S1,FCE_Setup_Stage,384
386,5,G1, ,385
387,5,G2, ,385
388,5,G3, ,385
389,4,S2,FCE_Setup_Stage,384
390,5,G1, ,389
391,5,G2, ,389
392,5,G3, ,389
393,4,S3,FCE_Setup_Stage,384
394,5,G1, ,393
395,4,S4,FCE_Group_Stage,384
396,5,G1, ,395
397,2,COUN,NationName_250,370
398,1,CCAF, ,0
399,3,C100,TrophyName_Abbr15_1004,398
400,4,S1,FCE_Setup_Stage,399
401,5,G1, ,400
402,4,S2,FCE_Group_Stage,399
403,5,G1,FCE_Group_A,402
404,5,G2,FCE_Group_B,402
405,4,S3,FCE_Semi_Finals,399
406,5,G1, ,405
407,5,G2, ,405
408,4,S4,FCE_Finals,399
409,5,G1, ,408
410,1,AFC, ,0
411,3,C993,TrophyName_Abbr15_993,410
412,4,S1,FCE_Group_Stage,411
413,5,G1,FCE_Asia,412
414,3,C100,TrophyName_Abbr15_1005,410
415,4,S1,FCE_Setup_Stage,414
416,5,G1, ,415
417,4,S2,FCE_Group_Stage,414
418,5,G1,FCE_Group_A,417
419,5,G2,FCE_Group_B,417
420,4,S3,FCE_Semi_Finals,414
421,5,G1, ,420
422,5,G2, ,420
423,4,S4,FCE_Finals,414
424,5,G1, ,423
425,1,CNBL, ,0
426,3,C992,TrophyName_Abbr15_992,425
427,4,S1,FCE_Group_Stage,426
428,5,G1,FCE_SouthAmerica,427
429,1,CAF, ,0
430,1,OFC, ,0
431,1,CRCT, ,0
432,2,CRCY,NationName_216,431
433,3,C900,MatchTypeIntFriendly,0
434,4,S1,Friendly,433
435,5,G1, ,434
436,3,CFRN,Friendly,0
437,4,S1,Friendly,436
438,5,G1, ,437
